"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","7","4","6","35","4","89","1","6","0","54","3","0","0","0","1","0","0","1","0","0","","","","","",""
"区南部","0","5","12","12","51","8","157","18","5","0","75","4","5","1","0","1","0","0","2","0","0","","","","","",""
"区西南部","0","0","10","16","35","10","120","7","5","0","84","2","3","1","0","0","0","0","0","0","0","","","","","",""
"区西部","0","4","5","25","41","4","120","0","5","0","71","5","1","0","0","1","0","2","3","0","0","","","","","",""
"区西北部","1","0","9","9","46","11","146","7","12","0","125","9","2","1","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","2","7","15","66","11","77","5","11","1","207","4","5","0","0","2","0","0","2","0","0","","","","","",""
"区東部","0","6","13","13","60","7","142","5","18","0","184","7","14","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","7","3","8","2","32","1","4","0","15","3","0","1","0","0","0","1","0","0","0","","","","","",""
"南多摩","1","5","8","27","91","22","276","14","10","0","136","9","6","0","0","1","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","2","9","29","3","110","1","6","1","40","2","3","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","1","11","9","14","8","185","8","4","0","48","3","6","0","0","1","0","1","2","0","0","","","","","",""
"北多摩北部","0","3","17","22","63","5","148","5","9","1","88","5","2","0","0","0","0","0","1","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","12","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3","33","105","166","539","95","1614","72","95","3","1128","56","47","4","0","7","0","4","11","0","0","","","","","",""
