"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"〜1歳","0","3","1","0","20","0","5","0","14","0","9","0","1","0","0","0","0","0","0","0"
"1歳","0","5","3","0","39","6","9","2","20","0","19","1","4","0","0","1","0","0","0","0"
"2歳","0","1","4","3","18","6","9","1","5","0","16","4","1","0","0","1","0","0","2","0"
"3歳","0","0","7","2","13","2","5","2","1","0","13","12","0","0","0","1","0","0","1","0"
"4歳","0","1","5","6","8","1","3","2","1","0","10","9","0","0","0","0","0","0","0","0"
"5歳","0","0","5","4","17","3","6","0","0","0","4","3","1","0","0","0","0","0","0","0"
"6歳","0","0","2","6","6","1","2","0","0","1","7","3","1","0","0","0","0","0","0","0"
"7歳","0","0","1","6","2","0","1","0","0","0","3","3","0","0","0","0","0","0","1","0"
"8歳","0","0","2","3","3","0","0","0","0","0","2","2","1","0","0","0","0","0","1","0"
"9歳","0","0","0","0","6","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","2","2","12","0","2","0","0","0","5","4","0","0","0","0","0","0","1","0"
"15〜19歳","0","0","0","1","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"20〜29歳","0","0","0","8","32","0","1","0","0","1","1","1","0","0","0","1","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1","10","32","41","184","19","45","7","41","2","92","43","9","0","1","6","1","0","6","0"
