"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","1","1","0","1","0","0","1","0","0","",""
"中央区","1","4","1","1","0","0","0","0","0","",""
"みなと","3","1","2","0","0","0","0","0","0","",""
"新宿区","4","0","0","1","0","0","4","0","0","",""
"文京","0","0","0","0","0","0","0","0","0","",""
"台東","5","2","6","5","1","0","0","0","0","",""
"墨田区","0","0","1","0","0","0","3","0","0","",""
"江東区","2","1","3","0","0","0","0","0","0","",""
"品川区","35","4","0","7","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","0","0","0","0","0","0","2","0","0","",""
"世田谷","0","0","0","0","0","0","2","0","0","",""
"渋谷区","10","3","5","1","0","0","2","0","0","",""
"中野区","0","0","0","1","0","0","0","0","0","",""
"杉並","1","0","0","0","0","0","1","0","0","",""
"池袋","4","5","0","1","2","0","1","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
"荒川区","3","0","0","0","0","0","0","0","0","",""
"板橋区","2","0","0","0","0","0","2","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","3","1","0","0","2","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","2","0","0","",""
"江戸川","11","0","0","1","1","0","0","0","0","",""
"八王子市","4","0","0","0","0","0","1","0","0","",""
"町田市","1","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","11","1","0","0","1","0","0","0","0","",""
"多摩府中","2","0","0","0","0","0","3","0","0","",""
"多摩小平","2","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","105","23","18","19","7","0","24","0","0","",""
