"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","1","0","1","13","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","16","6","1","1","101","13","3","1","41","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","45","4","6","14","184","18","1","3","47","0","1","2","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2歳","55","0","6","13","122","15","0","4","7","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"3歳","62","0","2","28","115","20","2","6","1","0","0","2","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"4歳","86","0","3","31","65","10","1","11","0","0","0","9","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","74","0","1","28","66","10","0","17","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","119","0","1","25","51","3","0","10","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","110","0","1","41","37","2","2","3","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","63","0","0","18","34","4","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","41","0","0","13","20","1","0","7","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","110","0","0","20","59","2","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","30","0","0","2","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","67","0","0","18","127","1","0","5","0","3","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","71","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1008","11","21","253","1010","103","9","76","100","3","4","32","7","1","1","5","0","0","4","0","0","0","0","0","0","0","0","0"
