"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","1","0","0","3","1","2","0","6","2","0","5","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","1","0","16","0","10","0","45","0","0","47","0","0","3","0","0","0","0","0","0","0","0"
"1歳","0","1","14","0","26","9","28","3","28","0","0","119","0","1","5","0","0","0","0","0","0","0","0"
"2歳","0","0","15","3","31","10","26","2","2","0","0","114","0","4","3","0","0","0","0","0","0","0","0"
"3歳","0","0","20","2","37","15","39","9","1","0","0","78","0","12","4","0","0","0","0","0","1","0","0"
"4歳","0","0","29","6","23","17","28","8","0","0","0","71","0","18","0","0","0","0","0","0","0","0","0"
"5歳","0","0","23","13","39","6","15","9","0","1","0","46","0","11","0","1","0","0","0","0","1","0","0"
"6歳","0","1","23","6","14","2","10","4","0","0","0","24","0","9","1","0","0","0","0","0","0","0","0"
"7歳","0","0","6","10","17","2","7","3","0","0","0","13","0","3","0","0","0","0","0","0","0","0","0"
"8歳","0","0","9","6","14","0","5","5","0","0","0","12","0","4","1","0","0","0","0","0","0","0","0"
"9歳","0","0","1","2","9","0","1","1","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","4","4","22","0","2","0","0","0","0","8","0","3","0","0","0","0","0","0","1","0","0"
"15〜19歳","0","0","1","0","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"20〜29歳","0","3","1","7","49","1","0","0","0","0","1","6","0","4","0","0","0","4","0","1","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","6","147","59","306","63","173","44","82","3","1","548","0","71","17","1","0","9","0","2","3","0","0"
