"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","5","31","0","0","1","11","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","","","","","",""
"中央区","13","27","0","1","0","7","0","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","58","64","3","9","4","2","0","5","0","0","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","16","70","3","5","0","10","0","2","1","2","2","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"文京","8","50","0","7","1","2","0","2","1","1","2","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"台東","5","40","0","0","3","14","0","8","0","0","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","20","123","0","2","1","3","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"江東区","46","84","1","6","10","27","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","16","52","0","4","6","12","0","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","10","44","1","14","1","9","0","1","1","0","3","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"大田区","49","140","1","5","8","42","0","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"世田谷","35","162","6","46","19","31","0","3","0","2","7","1","0","0","0","2","0","0","0","0","0","1","","","","","",""
"渋谷区","6","29","1","2","0","3","0","0","0","1","2","0","0","0","0","4","0","0","0","0","0","0","","","","","",""
"中野区","17","90","1","5","14","14","0","6","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","44","135","0","4","7","14","0","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","14","83","0","2","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","21","115","1","3","6","6","0","10","0","2","2","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","18","49","0","1","9","8","0","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","15","118","2","1","3","13","1","1","0","0","4","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"練馬区","25","151","2","8","11","38","0","4","0","2","12","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","11","134","5","1","3","22","0","7","0","3","8","1","0","2","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","16","121","0","3","3","13","0","5","0","0","4","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"江戸川","19","197","0","9","7","27","1","8","0","4","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","23","185","3","11","19","35","0","11","0","2","9","0","2","0","0","1","0","0","0","0","0","0","","","","","",""
"町田市","10","105","3","1","7","30","0","7","0","0","2","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","6","84","1","3","1","6","0","8","0","0","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","15","104","3","8","3","10","0","4","0","1","5","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"多摩立川","15","151","0","2","10","14","0","13","1","1","9","1","0","0","0","1","0","0","0","0","0","1","","","","","",""
"多摩府中","53","357","1","4","27","38","0","10","0","2","4","1","2","1","0","0","1","0","0","0","0","3","","","","","",""
"多摩小平","51","216","5","1","24","54","0","9","0","5","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","1","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","661","3335","43","168","208","515","3","139","4","35","102","8","8","3","0","14","1","1","1","0","0","11","","","","","",""
