"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","1","0"
"1〜4歳","0","0","0","0","0","0","4","6","0"
"5〜9歳","0","0","0","0","0","0","2","0","0"
"10〜14歳","1","0","0","0","0","0","0","0","0"
"15〜19歳","17","1","3","1","1","0","0","0","0"
"20〜24歳","34","13","5","7","3","0","1","0","0"
"25〜29歳","27","18","5","5","5","0","3","1","0"
"30〜34歳","22","10","5","2","7","0","2","0","0"
"35〜39歳","10","9","2","1","3","0","0","0","0"
"40〜44歳","2","2","0","0","3","0","1","0","1"
"45〜49歳","0","3","0","0","1","0","0","0","0"
"50〜54歳","0","1","0","0","0","0","1","0","0"
"55〜59歳","0","1","0","0","0","0","4","1","0"
"60〜64歳","0","0","0","0","0","0","2","1","0"
"65〜69歳","0","0","0","0","0","0","3","1","0"
"70歳以上","0","1","0","0","0","0","17","2","0"
"合計","113","59","20","16","23","0","44","13","1"
