"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","0","2","0","0"
"中央区","0","0","0","0","37","9","1","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"みなと","5","0","11","8","14","3","0","0","2","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","7","6","1","1","0","0"
"新宿区","0","0","0","2","91","4","0","3","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","7","6","2","2","0","0"
"文京","1","0","4","3","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","4","3","1","1","0","0"
"台東","1","0","0","0","64","5","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"墨田区","0","0","0","0","46","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","3","0","1","0","0"
"江東区","1","0","0","6","46","4","3","0","3","0","0","0","0","3","0","0","0","3","0","0","0","0","0","0","4","3","1","0","0","0"
"品川区","0","0","0","0","80","9","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","7","6","0","0","0","0"
"目黒区","4","0","0","1","25","7","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"大田区","0","0","2","17","109","9","1","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","10","9","1","1","0","0"
"世田谷","7","0","1","5","113","6","0","1","10","0","0","0","0","1","2","0","0","0","0","1","0","0","0","0","9","8","0","2","0","0"
"渋谷区","0","0","0","2","80","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","2","0","0"
