"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","0","4","12","24","6","3","4","3","0","0","0","0","2","0","0","0","1","0","0","3","0","0","","","","","",""
"区南部","0","0","3","26","56","5","1","1","8","0","0","0","0","2","1","1","0","0","0","0","1","0","0","","","","","",""
"区西南部","0","0","0","3","27","8","4","2","3","0","0","0","1","4","0","0","0","0","0","1","0","0","0","","","","","",""
"区西部","0","1","0","16","58","5","4","2","4","0","0","0","0","5","0","0","0","2","0","0","3","0","0","","","","","",""
"区西北部","0","0","0","7","18","6","4","1","7","0","0","0","0","2","2","0","0","0","0","0","1","0","0","","","","","",""
"区東北部","0","0","0","6","19","7","5","0","2","0","0","0","0","2","1","0","0","0","0","0","0","0","0","","","","","",""
"区東部","0","0","0","5","32","2","3","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","0","0","44","1","1","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","2","2","8","63","2","3","2","3","0","0","3","0","2","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","1","1","11","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","0","7","20","3","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","4","4","14","35","1","0","2","3","0","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","0","7","14","106","407","48","34","18","35","0","0","4","1","23","5","1","0","3","0","1","8","0","0","","","","","",""
