"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","21","0","0","10","0","0","0","2","1","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","22","2","1","55","4","5","0","17","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","42","2","1","124","7","19","0","41","0","3","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2歳","1","9","7","8","77","10","4","1","2","0","2","2","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"3歳","0","4","3","12","62","8","10","1","2","0","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"4歳","0","1","12","22","75","19","4","0","0","0","1","0","2","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"5歳","1","1","5","41","60","11","7","2","0","0","1","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6歳","2","1","6","32","53","4","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"7歳","0","0","3","22","49","2","1","0","0","0","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","2","22","30","3","1","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","1","0","1","18","20","1","2","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","7","0","4","20","85","3","1","0","0","0","1","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","2","19","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","1","2","41","1","0","0","0","1","1","2","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0"
"30〜39歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","14","101","48","203","760","73","54","4","64","3","12","24","9","2","0","10","0","2","14","1","1","0","0","0","0","0","1","0"
