"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","20","0","0","12","3","9","0","3","0","4","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","46","9","2","76","4","79","0","70","0","21","0","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","111","27","6","134","15","229","1","106","0","65","1","9","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","22","17","11","84","20","138","1","23","1","47","6","4","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"3歳","1","5","20","26","65","20","83","0","1","0","26","6","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"4歳","0","7","16","28","60","27","68","2","0","0","20","10","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"5歳","0","1","18","29","56","10","44","1","0","0","21","8","1","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"6歳","0","0","11","15","32","6","27","0","1","0","5","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","5","14","34","1","13","1","0","0","8","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","1","0","5","11","24","4","6","2","0","0","2","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","17","26","0","8","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","4","18","85","1","11","0","0","0","2","11","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","1","6","17","0","2","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","7","19","69","1","20","0","0","0","4","3","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"合計","2","212","140","202","774","112","737","8","204","1","229","58","34","4","1","20","1","4","6","0","0","0","0","0","0","0","0","0"
