"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","10","3","0"
"1〜4歳","0","0","0","0","0","0","5","10","0"
"5〜9歳","0","0","0","0","0","0","1","1","0"
"10〜14歳","0","0","0","0","0","0","0","2","0"
"15〜19歳","14","2","2","4","0","0","0","0","0"
"20〜24歳","37","8","5","4","2","0","0","0","0"
"25〜29歳","25","10","6","4","3","0","0","0","0"
"30〜34歳","16","8","4","1","0","1","1","0","0"
"35〜39歳","11","5","4","1","2","0","0","1","0"
"40〜44歳","3","3","3","2","0","0","1","0","0"
"45〜49歳","1","1","0","0","0","1","1","0","0"
"50〜54歳","0","2","0","0","1","1","0","0","0"
"55〜59歳","0","1","0","0","0","0","1","0","0"
"60〜64歳","0","0","0","0","0","0","5","0","0"
"65〜69歳","0","0","0","0","0","0","2","0","0"
"70歳以上","0","0","0","0","1","0","28","4","0"
"合計","107","40","24","16","9","3","55","21","0"
