"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","1","0","0","0","",""
"中央区","3","1","1","0","0","0","0","0","0","0","",""
"みなと","4","6","3","1","0","0","3","1","0","0","",""
"新宿区","10","11","7","2","1","0","6","2","0","0","",""
"文京","0","0","0","0","0","0","1","0","1","0","",""
"台東","1","0","0","0","0","0","0","0","0","0","",""
"墨田区","1","1","0","0","0","0","2","2","0","0","",""
"江東区","0","0","0","0","0","0","0","0","0","0","",""
"品川区","0","0","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","5","0","0","0","0","0","0","1","0","0","",""
"世田谷","0","0","0","0","0","0","1","0","0","0","",""
"渋谷区","4","6","3","0","0","0","0","0","0","0","",""
"中野区","1","0","1","1","2","0","0","0","0","0","",""
"杉並","1","0","0","0","0","0","1","0","0","0","",""
"池袋","10","7","1","4","0","0","1","4","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","0","",""
"荒川区","2","1","0","1","0","0","0","0","0","0","",""
"板橋区","1","3","0","0","0","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","1","4","0","0","",""
"江戸川","10","0","3","0","1","0","0","0","0","0","",""
"八王子市","4","1","0","1","0","0","0","0","0","0","",""
"町田市","6","1","0","0","2","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","14","1","1","3","2","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","7","4","0","0","",""
"多摩小平","0","0","0","1","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","77","39","20","14","8","0","24","20","1","0","",""
