"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","1","1","0","10","1","0","0","3","0","0","0","2","0","0","0","0","0","0","0"
"〜1歳","0","11","2","1","60","4","5","0","38","0","2","0","5","0","0","0","0","0","0","0"
"1歳","1","10","1","14","69","14","22","2","49","0","5","3","2","0","0","0","0","0","2","0"
"2歳","0","3","4","8","50","16","15","4","1","1","5","4","1","0","0","1","0","0","0","0"
"3歳","1","0","2","14","47","20","15","9","2","1","0","13","0","0","0","1","0","1","0","0"
"4歳","2","0","5","13","41","18","5","5","1","0","2","16","0","0","0","1","0","0","1","0"
"5歳","1","0","1","23","28","10","7","3","1","0","0","12","2","0","0","0","0","0","0","0"
"6歳","3","0","4","25","32","9","4","8","1","2","0","8","0","0","0","0","0","0","0","0"
"7歳","1","0","3","10","18","7","6","2","0","0","1","6","0","0","0","0","0","0","0","0"
"8歳","1","0","1","9","22","3","5","0","0","0","3","7","0","0","0","0","0","0","0","0"
"9歳","2","0","0","12","15","0","0","2","0","0","0","1","1","0","0","0","0","0","1","0"
"10〜14歳","3","0","3","20","44","2","1","1","0","1","0","3","0","0","0","1","0","0","1","0"
"15〜19歳","3","0","0","2","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","2","0","0","9","66","0","5","0","0","2","2","1","0","0","1","6","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"40〜49歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","27","25","27","160","513","104","90","36","96","7","20","74","13","0","1","17","0","1","5","0"
