"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","1","0","0","10","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","3","0","0","0","22","4","1","0","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"2歳","1","0","0","0","21","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"3歳","2","0","0","0","16","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","4","0","0","1","15","12","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","1","0","1","2","18","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","2","0","0","0","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","1","0","0","1","12","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"8歳","1","0","0","0","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","1","0","0","1","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","13","0","0","1","13","2","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","6","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","9","0","1","0","32","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","59","1","2","6","192","43","1","4","7","0","1","0","0","4","1","0","0","0","0","0","0","0","0"
