"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","1","0","0","0","5","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","0","1","0","35","3","0","0","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","15","1","2","1","77","13","0","0","7","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"2歳","18","1","0","3","66","17","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"3歳","14","0","1","10","67","12","0","3","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"4歳","13","0","1","19","66","12","1","6","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0"
"5歳","13","0","0","13","51","11","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","11","0","0","10","39","7","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"7歳","4","0","0","5","26","3","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","3","1","0","11","27","1","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","3","0","0","4","23","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","16","1","0","5","31","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","6","0","0","0","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","5","1","0","8","110","1","0","2","0","0","1","0","0","0","0","0","0","3","0","1","0","0","0"
"30〜39歳","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"40〜49歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"50〜59歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","152","5","5","89","631","85","1","33","22","1","4","1","1","10","1","1","0","14","0","1","0","0","0"
