"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","6","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","0","0","2","46","9","2","0","49","0","0","0","0","1","3","0","0","0","0","0","0","0","0"
"1歳","0","0","5","4","103","26","1","2","30","0","4","6","0","0","3","2","0","0","0","0","2","0","0"
"2歳","0","0","5","14","88","28","3","6","1","0","3","2","0","5","2","0","0","0","0","0","1","0","0"
"3歳","0","0","2","17","81","32","3","8","0","0","1","1","0","4","1","0","0","0","0","0","1","0","0"
"4歳","3","0","2","29","65","24","0","15","0","0","1","1","0","6","0","1","0","0","0","0","0","0","0"
"5歳","2","0","3","35","65","16","0","11","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"6歳","0","0","1","30","32","6","0","17","0","0","1","1","0","6","0","0","0","0","0","0","0","0","0"
"7歳","0","0","1","22","27","3","0","16","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0"
"8歳","0","0","1","22","34","4","0","15","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","9","21","2","0","7","0","0","1","1","1","3","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","10","32","4","0","6","0","0","2","0","0","3","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","3","16","1","0","2","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0"
"20〜29歳","1","4","2","7","86","2","0","2","0","0","3","2","0","2","0","0","0","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"40〜49歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","8","4","22","204","702","157","9","107","85","0","20","14","1","38","9","3","0","11","0","0","4","0","0"
