"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","8","0","0","7","5","39","1","3","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","14","7","1","93","6","386","1","71","0","95","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","1","22","29","10","115","17","1119","9","110","1","264","3","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","1","6","25","14","75","17","656","5","13","0","187","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","0","2","29","37","83","25","455","5","4","0","154","9","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"4歳","0","1","37","61","80","28","365","5","1","0","132","8","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"5歳","0","0","28","52","73","30","244","0","0","0","95","9","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","1","0","8","40","42","15","98","1","0","0","41","6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","11","32","40","7","58","1","1","0","32","4","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"8歳","0","0","3","24","25","7","30","3","0","0","28","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","3","22","26","1","31","2","0","0","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","6","21","72","5","33","3","0","0","21","11","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","1","0","0","2","16","1","3","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0"
"20〜29歳","3","0","2","23","90","0","76","2","0","0","10","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"合計","11","53","188","339","837","164","3593","38","203","1","1077","63","24","3","0","19","2","5","8","2","0","0","0","0","0","0","0","0"
