"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","2","0","0","",""
"中央区","1","0","0","0","0","0","0","0","0","",""
"みなと","6","10","5","1","2","0","1","0","0","",""
"新宿区","11","4","5","5","2","0","15","11","0","",""
"文京","0","0","0","0","0","0","1","3","0","",""
"台東","17","27","1","0","0","0","0","0","0","",""
"墨田区","0","1","0","0","0","0","2","3","0","",""
"江東区","6","0","0","2","0","0","0","0","0","",""
"品川区","0","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","3","0","0","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","1","0","1","",""
"渋谷区","1","0","0","0","0","0","2","0","0","",""
"中野区","0","0","0","0","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","12","4","2","0","3","0","2","2","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
"荒川区","1","1","0","1","0","0","0","0","0","",""
"板橋区","6","1","0","0","1","1","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","5","3","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","",""
"八王子","19","0","2","1","2","0","3","0","0","",""
"町田市","1","1","0","0","3","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","6","0","1","0","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","0","0","0","",""
"多摩小平","0","0","0","0","0","0","8","4","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","90","49","16","10","13","1","42","26","1","",""
