"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","11","1","3","13","0","0","1","0","0","2","2"
"中央区","9","5","3","1","0","0","0","0","0","3","0"
"みなと","5","41","15","2","1","2","4","0","0","2","1"
"新宿区","29","12","36","20","2","8","13","3","0","7","2"
"文京","4","1","1","4","0","0","3","0","1","1","1"
"台東","32","6","2","33","2","1","0","0","0","2","0"
"墨田区","4","1","1","2","0","0","7","1","0","2","1"
"江東区","6","5","1","8","0","0","0","0","0","2","0"
"品川区","8","5","2","4","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","9","0","0","0","0","0","2","0","0","2","1"
"世田谷","0","0","0","0","0","0","6","1","0","0","2"
"渋谷区","9","5","0","0","0","0","0","0","0","3","1"
"中野区","2","0","0","1","2","0","0","0","0","2","0"
"杉並","3","0","0","1","0","0","1","0","0","2","2"
"池袋","14","4","4","6","3","1","2","3","0","3","1"
"北区","1","0","0","1","0","0","0","0","0","1","0"
"荒川区","2","2","0","0","0","0","0","0","0","1","0"
"板橋区","5","3","1","2","0","0","5","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","5","1","0","0","0","1","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","3","0","0","0","1"
"江戸川","2","1","0","1","0","0","0","0","0","1","0"
"八王子市","4","0","0","0","2","0","2","0","0","3","1"
"町田市","4","1","0","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","11","1","0","0","0","0","0","0","0","2","1"
"多摩府中","0","0","0","0","0","0","21","0","1","3","3"
"多摩小平","1","0","0","0","0","0","0","1","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","180","95","69","99","12","13","70","9","2","51","25"
