"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","15","6","2","15","0","0","1","0","0","",""
"区南部","12","1","0","9","1","0","5","0","0","",""
"区西南部","14","1","5","2","1","0","3","1","1","",""
"区西部","10","8","26","1","2","0","3","0","0","",""
"区西北部","4","1","1","1","0","0","0","0","0","",""
"区東北部","5","0","0","0","1","0","0","0","0","",""
"区東部","9","0","0","1","0","0","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","7","6","0","1","1","0","0","0","0","",""
"北多摩西部","9","0","2","0","0","0","0","0","0","",""
"北多摩南部","0","1","0","0","0","0","5","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","85","24","36","30","6","0","18","1","1","",""
