"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","",""
"中央区","0","0","0","0","0","0","0","0","0","",""
"みなと","14","2","3","2","1","0","0","0","0","",""
"新宿区","24","6","3","10","0","0","11","3","0","",""
"文京","0","0","0","0","0","0","11","1","0","",""
"台東","27","22","4","2","16","0","0","0","0","",""
"墨田区","0","0","0","0","0","0","1","0","0","",""
"江東区","8","1","2","1","0","0","0","0","0","",""
"品川区","0","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","2","2","1","0","0","0","1","0","0","",""
"世田谷","0","0","0","0","0","0","6","0","0","",""
"渋谷区","0","0","0","0","0","0","5","0","0","",""
"中野区","0","0","0","0","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","11","1","3","1","1","0","12","1","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
"荒川区","1","0","0","0","0","0","0","0","0","",""
"板橋区","0","0","0","0","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","0","1","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","8","0","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","",""
"八王子","17","2","1","0","5","0","1","0","0","",""
"町田市","0","0","0","0","3","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","10","0","1","8","0","0","0","0","0","",""
"多摩府中","1","0","0","0","0","0","0","0","0","",""
"多摩小平","0","0","0","0","0","0","9","3","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","115","37","18","24","26","0","65","8","0","",""
