"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","17","0","4","7","0","0","3","0","0","2","2"
"中央区","5","2","2","1","0","0","0","0","0","3","0"
"みなと","12","5","7","2","0","0","4","0","0","2","1"
"新宿区","44","1","149","36","1","0","9","1","0","6","2"
"文京","3","0","1","1","0","0","5","0","1","1","1"
"台東","14","1","2","12","0","0","0","0","0","2","0"
"墨田区","2","2","2","0","0","0","5","1","0","2","1"
"江東区","8","4","2","0","0","0","0","0","0","2","0"
"品川区","10","0","0","1","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","4","0","1","3","0","0","0","0","0","2","1"
"世田谷","0","0","0","0","0","0","6","1","0","0","2"
"渋谷区","16","8","14","9","0","0","1","0","0","5","1"
"中野区","8","0","0","5","1","0","0","0","0","2","0"
"杉並","9","1","3","1","0","0","3","0","0","2","2"
"池袋","26","7","2","11","0","0","4","2","0","3","1"
"北区","3","0","1","1","0","0","0","0","0","1","0"
"荒川区","2","0","0","0","0","0","0","0","0","1","0"
"板橋区","5","2","1","1","0","0","2","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","4","0","1","0","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","3","2","0","0","1"
"江戸川","14","1","0","3","0","0","0","0","0","2","0"
"八王子市","5","2","0","1","0","0","4","0","0","4","1"
"町田市","4","5","2","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","14","0","0","1","0","0","0","0","0","2","1"
"多摩府中","1","1","0","1","0","0","16","1","0","3","3"
"多摩小平","0","0","0","0","0","0","3","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","230","42","194","97","2","0","68","8","1","54","25"
