"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","2","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","1","1","18","2","14","1","31","0","0","26","0","0","1","0","0","0","0","0","0","0","0"
"1歳","0","0","9","0","25","16","36","3","10","1","0","90","0","0","3","0","0","0","0","0","0","0","0"
"2歳","0","0","13","3","30","14","21","1","2","0","0","81","0","3","3","0","0","0","0","0","0","0","0"
"3歳","0","0","4","18","27","29","19","3","0","0","0","76","0","10","0","0","0","0","0","0","0","0","0"
"4歳","0","1","12","15","25","13","27","6","0","0","0","65","0","12","2","0","0","0","0","0","0","0","0"
"5歳","0","0","8","14","25","13","16","3","0","0","0","31","0","12","0","0","0","0","0","0","0","0","0"
"6歳","0","0","5","10","26","13","9","3","0","0","0","19","0","13","0","0","0","0","0","0","0","0","0"
"7歳","0","2","1","17","8","4","2","2","0","0","0","14","0","11","0","0","0","0","0","0","0","0","0"
"8歳","0","0","3","4","7","1","1","2","0","0","0","7","0","4","0","0","0","1","0","0","0","0","0"
"9歳","0","0","4","5","9","3","2","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","3","8","17","1","1","1","0","0","0","5","0","4","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","3","2","5","28","0","3","0","0","0","0","2","0","1","0","0","0","1","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","6","65","100","249","111","151","25","46","1","0","422","0","73","9","0","0","9","0","0","0","0","0"
