"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","164","5","1","4","10","4","12","0","3","0","0","3","0","0","0","0","0","0","2","0","","","","","",""
"区南部","233","1","1","4","31","1","5","0","6","0","3","7","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","303","0","0","3","5","1","6","0","2","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"区西部","309","0","0","1","25","2","1","0","3","0","1","3","0","1","0","1","0","0","0","0","","","","","",""
"区西北部","359","0","0","2","11","2","6","1","3","0","0","6","0","0","0","1","0","0","0","0","","","","","",""
"区東北部","272","0","0","1","12","5","16","2","4","0","0","7","0","0","0","1","0","0","1","0","","","","","",""
"区東部","332","0","1","8","17","5","8","1","7","0","4","4","1","0","0","1","0","0","0","0","","","","","",""
"西多摩","100","0","1","1","4","1","2","0","0","0","0","4","0","0","0","1","0","0","0","0","","","","","",""
"南多摩","543","2","0","20","32","5","3","2","6","0","6","9","1","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","119","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","357","0","0","1","2","0","3","0","6","0","0","3","0","0","0","1","0","0","0","0","","","","","",""
"北多摩北部","236","1","0","3","5","4","5","1","4","0","1","2","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3328","9","4","48","156","30","69","7","44","0","15","51","2","1","0","6","0","0","3","0","","","","","",""
