"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","5","4","0","0","4","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","0","25","12","0","2","26","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"1歳","3","0","0","1","45","19","3","1","3","0","2","0","0","2","3","0","0","0","0","1","0","0","0","0"
"2歳","0","0","1","3","33","18","0","0","0","0","1","1","0","2","1","0","0","0","0","0","0","0","0","0"
"3歳","0","0","0","6","46","12","0","1","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0"
"4歳","0","0","0","9","25","13","1","2","0","0","0","0","1","8","1","0","0","0","0","0","0","0","0","0"
"5歳","0","0","0","9","27","8","0","1","0","0","2","1","1","1","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","0","6","23","4","0","4","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","0","2","33","0","0","4","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","6","19","1","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","2","13","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","2","9","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","14","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","0","6","63","0","0","1","0","0","0","2","1","1","0","0","0","4","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","3","0","1","52","380","92","5","17","33","1","6","7","7","28","8","0","0","10","0","1","0","0","0","1"
