"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","12","13","1","2","10","22","2","95","16","2","1","2","0","0","0","1","0","0","1","1","0","0","4","","","","","",""
"区南部","5","15","0","2","13","60","3","92","16","1","1","1","1","0","0","0","0","0","1","0","0","0","0","","","","","",""
"区西南部","21","22","1","0","10","26","0","107","17","4","5","0","0","0","0","2","0","0","2","1","0","1","3","","","","","",""
"区西部","16","28","1","0","15","23","1","109","14","1","2","0","0","0","0","1","0","0","20","0","0","0","3","","","","","",""
"区西北部","25","31","1","1","27","36","1","202","10","3","6","0","1","0","0","2","0","0","4","0","0","0","2","","","","","",""
"区東北部","26","34","4","2","24","52","4","145","8","3","4","0","0","1","0","0","0","0","5","0","0","0","2","","","","","",""
"区東部","14","31","1","1","17","32","2","193","26","5","5","1","0","0","0","2","0","0","2","0","0","0","1","","","","","",""
"西多摩","1","9","0","0","0","2","0","31","2","1","1","0","0","0","0","0","0","0","2","0","0","0","0","","","","","",""
"南多摩","13","37","4","0","30","66","2","241","11","5","4","1","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"北多摩西部","5","14","0","0","12","6","0","73","2","1","1","0","0","0","0","0","0","0","1","0","0","0","2","","","","","",""
"北多摩南部","13","13","2","1","16","29","1","173","7","2","1","1","2","0","0","1","0","0","4","0","0","0","6","","","","","",""
"北多摩北部","6","13","2","2","26","27","4","145","12","3","4","0","0","0","0","0","0","0","6","0","0","0","3","","","","","",""
"島しょ","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"合計","157","261","17","11","200","381","20","1606","141","31","35","6","4","1","0","9","0","0","48","2","0","1","31","","","","","",""
