"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","2","0","1","0","4","0","0","6","0","0","0","1","0","0","0","0","0","0","0","0"
"〜1歳","0","0","1","0","8","6","1","0","25","0","0","9","0","0","3","0","0","0","0","0","0","0","0","0"
"1歳","1","0","0","0","21","8","7","1","11","0","0","15","2","1","5","0","0","0","0","0","0","0","0","0"
"2歳","0","0","1","3","12","12","4","0","0","0","0","17","0","1","3","0","0","0","0","0","0","0","0","0"
"3歳","0","0","4","4","16","20","5","3","0","0","2","12","1","4","0","0","0","0","0","0","0","0","0","0"
"4歳","0","0","0","7","21","10","7","4","0","0","1","9","0","10","1","0","0","0","0","0","0","0","0","0"
"5歳","1","0","2","11","16","12","1","2","0","0","0","8","1","10","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","0","7","11","8","3","5","1","0","0","1","0","3","1","0","0","0","0","0","0","0","0","0"
"7歳","0","0","1","3","14","2","0","1","1","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0"
"8歳","1","0","0","5","3","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","1","8","3","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","3","13","4","0","2","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","1","6","0","0","0","0","0","0","1","2","0","0","0","0","1","0","0","0","0","0","0"
"20〜29歳","0","0","0","4","26","2","4","1","0","0","0","3","1","1","0","0","0","4","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","3","0","9","49","177","87","34","20","42","0","4","84","8","36","14","1","0","15","0","0","0","0","0","0"
