"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","9","4","3","7","0","0","2","0","0","",""
"区南部","19","5","0","3","0","0","0","0","0","",""
"区西南部","10","6","8","1","2","0","4","0","0","",""
"区西部","11","2","8","0","1","0","7","0","3","",""
"区西北部","1","0","0","1","0","0","2","0","0","",""
"区東北部","10","0","1","0","0","0","2","0","0","",""
"区東部","7","0","1","0","1","0","3","0","0","",""
"西多摩","0","0","0","0","0","0","2","0","0","",""
"南多摩","7","1","1","1","2","0","2","0","0","",""
"北多摩西部","6","0","0","1","1","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","1","2","1","",""
"北多摩北部","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","80","18","22","14","7","0","25","2","4","",""
