"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","15","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","0","56","6","2","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","0","1","0","118","13","2","3","5","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0"
"2歳","2","0","1","0","92","18","3","2","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0"
"3歳","2","0","0","0","92","19","3","4","0","0","0","0","0","11","1","0","0","0","0","0","0","0","0","0"
"4歳","0","0","1","3","92","16","3","2","0","0","0","0","0","12","1","0","0","0","0","0","0","0","0","0"
"5歳","2","0","0","2","74","13","0","2","0","0","0","2","0","21","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","0","3","57","3","1","6","0","0","0","0","1","9","2","0","0","0","0","0","0","0","0","0"
"7歳","1","0","0","2","49","6","1","3","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0"
"8歳","1","0","1","4","34","0","0","5","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0"
"9歳","1","0","0","0","19","0","0","4","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","3","0","0","3","71","3","1","4","0","0","0","0","0","6","0","0","0","1","0","0","0","0","0","0"
"15〜19歳","2","0","0","0","25","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","4","0","1","2","107","5","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","20","0","5","19","901","102","17","35","35","0","2","4","2","80","6","0","0","2","0","0","0","0","0","0"
