"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","12","0","0","0","9","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","14","2","0","1","25","11","0","1","18","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","80","1","1","0","68","13","0","3","8","0","0","0","0","1","4","0","0","0","0","0","0","0","0"
"2歳","81","0","2","3","44","14","1","3","1","0","0","0","0","1","3","0","0","0","0","0","0","0","0"
"3歳","79","0","1","3","55","14","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0"
"4歳","101","0","1","11","52","13","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"5歳","104","0","2","11","41","7","0","3","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"6歳","83","0","1","14","25","7","0","8","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"7歳","71","0","0","7","30","3","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"8歳","70","1","0","5","16","2","0","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","66","0","0","3","19","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","487","1","0","9","46","3","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","231","0","0","3","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","90","3","0","4","70","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"40〜49歳","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"60〜69歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"70〜79歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1769","8","8","74","513","91","2","31","28","1","1","0","0","12","9","0","0","7","0","0","0","0","0"
