"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","26","0","0","5","0","10","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","38","0","1","41","0","112","0","12","19","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","125","3","2","107","2","528","0","39","125","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","100","1","6","61","0","354","0","15","96","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","0","55","3","2","51","1","190","1","4","71","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","0","14","3","3","35","0","53","0","1","24","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","0","3","0","1","25","3","25","0","0","17","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","0","2","0","1","19","2","14","0","1","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","1","0","0","2","17","1","9","0","0","4","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","2","17","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","1","0","1","14","0","3","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","1","1","0","2","38","3","6","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","15","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","2","2","0","5","59","0","19","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","5","367","10","28","504","12","1324","1","73","370","12","13","3","0","8","1","1","0","0","0","0","0","0","0","0","0","0","0"
