"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","1","0","0","3","2","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"〜1歳","0","0","3","4","22","8","3","0","27","0","0","0","1","0","2","0","0","2","0","0","0","0","0"
"1歳","0","1","15","7","57","27","6","3","26","0","0","7","1","3","1","0","0","2","0","0","0","0","0"
"2歳","0","0","9","10","56","29","3","3","3","0","0","9","0","3","1","0","0","0","0","0","0","0","0"
"3歳","0","0","16","14","48","33","4","12","2","0","0","5","0","2","0","0","0","1","0","0","0","0","0"
"4歳","0","0","16","33","49","22","3","7","1","0","0","7","0","3","0","0","0","1","0","0","0","0","0"
"5歳","0","0","8","43","40","25","1","12","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0"
"6歳","0","0","6","33","35","18","2","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"7歳","0","0","2","13","32","7","2","5","0","0","0","0","0","7","2","0","0","0","0","0","0","0","0"
"8歳","0","0","3","8","28","4","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"9歳","0","0","1","9","24","1","1","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0"
"10〜14歳","1","0","5","17","57","5","1","2","0","0","0","1","4","3","2","0","1","0","0","0","0","0","0"
"15〜19歳","1","0","0","3","6","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","4"
"20〜29歳","0","0","0","10","61","1","1","0","0","0","0","3","2","1","0","0","0","1","0","0","0","0","4"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2","2","84","204","518","183","28","46","61","0","0","35","10","34","8","0","2","10","0","0","0","0","10"
