"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","2","1","0","15","2","1","0","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","6","16","4","139","16","13","4","66","0","10","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","2","8","63","18","207","34","66","6","113","0","22","2","6","1","0","0","0","1","4","0","0","0","0","0","0","0","0","0"
"2歳","1","3","27","27","157","50","33","2","10","0","10","4","6","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0"
"3歳","4","3","24","82","153","64","26","4","3","0","5","7","4","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"4歳","2","0","20","123","173","54","10","3","1","0","8","11","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"5歳","1","0","21","96","119","46","6","5","0","0","2","9","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","1","0","7","81","95","20","2","6","0","1","1","6","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"7歳","5","0","6","86","86","20","2","3","0","0","3","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","7","0","8","59","77","5","5","1","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","5","0","2","48","61","6","0","5","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","19","0","8","73","156","10","2","1","1","1","1","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"15〜19歳","5","0","1","5","34","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"20〜29歳","4","0","5","28","182","3","1","0","0","2","2","1","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"50〜59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","75","22","209","730","1654","330","168","40","196","5","69","56","26","2","0","16","0","1","15","0","0","0","0","0","0","0","0","0"
