"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","2","0"
"1〜4歳","0","0","0","0","0","0","1","7","0"
"5〜9歳","0","0","0","0","0","0","1","0","0"
"10〜14歳","0","0","0","0","0","0","2","0","0"
"15〜19歳","9","2","2","1","0","0","0","0","0"
"20〜24歳","26","15","8","8","6","0","0","0","0"
"25〜29歳","24","17","5","6","0","0","1","1","0"
"30〜34歳","9","5","2","1","4","1","0","0","0"
"35〜39歳","2","7","0","0","6","1","2","0","0"
"40〜44歳","2","3","0","0","0","1","2","0","0"
"45〜49歳","2","1","1","0","3","0","2","0","0"
"50〜54歳","0","2","0","0","3","0","0","0","0"
"55〜59歳","0","0","0","0","1","0","4","1","1"
"60〜64歳","0","0","0","0","1","1","3","3","0"
"65〜69歳","0","0","0","0","0","0","4","1","0"
"70歳以上","1","0","0","0","0","0","18","2","0"
"合計","75","52","18","16","24","4","43","17","1"
