"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","2","0","0","8","3","0","0","2","1","0","2","0","0","0","0","0","0","0","0","1","0","0"
"〜1歳","0","0","0","0","24","4","4","1","57","0","0","5","0","1","3","0","0","0","0","0","0","0","0"
"1歳","0","0","8","1","45","7","17","4","52","0","1","29","0","5","1","1","0","0","0","0","0","0","0"
"2歳","1","0","5","2","27","5","11","2","5","0","0","15","0","11","1","0","0","1","0","0","0","0","0"
"3歳","0","0","11","7","33","10","5","3","1","0","0","13","0","15","0","0","0","0","0","0","0","0","0"
"4歳","0","0","16","6","43","4","5","3","0","0","0","11","0","28","0","0","0","0","0","0","0","0","0"
"5歳","0","0","8","16","33","5","4","4","0","0","0","5","0","21","1","0","0","0","0","0","0","0","0"
"6歳","0","0","4","7","26","5","5","3","1","0","0","2","0","13","0","0","0","0","0","0","0","0","0"
"7歳","1","0","0","7","20","0","2","3","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0"
"8歳","0","0","1","7","11","0","1","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"9歳","0","0","3","2","12","1","1","1","0","0","0","2","0","5","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","1","9","33","0","1","1","0","1","0","3","0","6","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","3","12","0","0","1","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","1","1","11","52","0","0","0","0","0","0","5","0","8","1","0","0","2","0","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","3","3","58","78","379","44","56","27","118","2","2","93","0","124","7","1","0","7","0","1","1","0","0"
