"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","5","1","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","0","13","6","0","1","12","0","0","1","2","0","1","0","0","0","0","0","0","0","0","0"
"1歳","1","0","2","0","24","19","1","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2歳","1","0","1","3","23","20","1","1","0","0","0","0","1","3","1","0","0","0","0","0","0","0","0","0"
"3歳","1","0","0","3","21","21","0","1","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0","0"
"4歳","1","0","0","3","33","15","0","5","0","0","0","1","0","7","0","0","0","0","0","0","0","0","0","0"
"5歳","0","0","0","5","28","6","1","2","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","0","7","21","5","1","4","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0","0"
"7歳","0","0","0","1","16","1","0","2","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","1","14","4","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","0","5","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","4","23","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","6","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","0","0","39","3","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","5","0","3","27","271","102","4","21","17","0","4","13","10","24","4","0","0","4","0","0","0","0","0","0"
