"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","15","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","40","2","0","39","3","9","0","31","0","4","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","51","6","2","66","8","32","2","38","0","7","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","3","13","5","7","44","10","18","0","3","0","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","0","8","8","14","51","12","16","2","2","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","1","5","5","20","47","11","13","0","1","0","1","4","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"5歳","0","1","2","29","28","9","9","1","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"6歳","2","2","1","12","33","9","3","2","0","0","0","5","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0"
"7歳","1","1","1","24","25","2","4","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","1","0","0","18","24","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","1","15","10","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","3","0","2","21","52","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","1","10","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","3","0","1","1","38","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","19","136","34","164","474","68","112","9","75","1","21","15","8","4","0","9","0","1","5","0","0","0","0","0","0","0","0","0","0"
