"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","5","0","0","11","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","13","0","0","83","10","3","1","27","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","12","6","8","199","36","10","0","39","0","1","0","7","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2歳","0","9","5","15","161","43","7","1","5","0","0","5","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"3歳","1","1","2","23","126","42","8","4","1","0","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"4歳","2","2","4","40","132","27","4","4","1","0","0","9","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0"
"5歳","1","0","3","35","108","36","0","6","1","0","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6歳","1","1","3","37","76","25","3","5","0","0","0","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"7歳","0","0","1","33","56","7","2","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","2","0","1","33","44","5","1","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","19","40","2","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","2","26","80","11","0","0","0","0","0","5","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"15〜19歳","2","0","1","2","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","4","0","2","18","220","4","2","1","0","2","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"40〜49歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","17","43","30","289","1357","249","40","23","75","3","4","40","14","2","0","6","0","1","20","0","0","0","0","0","0","0","0","0"
