"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","11","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","1","38","3","2","5","39","0","0","1","0","2","4","0","0","0","0","0","0","0","0","0"
"1歳","0","0","0","2","58","23","8","4","11","0","0","2","0","4","3","0","0","0","0","0","0","0","0","0"
"2歳","0","0","2","2","48","13","8","0","4","0","1","0","0","12","2","0","0","0","0","0","0","1","0","0"
"3歳","0","0","0","5","54","17","4","2","0","0","0","0","0","11","1","0","0","0","0","0","0","0","0","0"
"4歳","0","0","1","8","44","14","4","4","0","0","1","1","0","19","1","0","0","0","0","0","0","1","0","0"
"5歳","0","0","0","18","30","10","4","6","0","0","0","0","0","17","1","0","0","0","0","0","0","0","0","0"
"6歳","0","0","0","7","22","9","2","2","0","0","0","1","0","14","0","0","0","0","0","0","1","0","0","0"
"7歳","0","0","0","7","27","3","0","3","0","0","0","1","0","8","0","0","0","0","0","0","0","2","0","0"
"8歳","0","0","0","5","19","1","2","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","4","19","0","1","1","0","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","2","0","0","5","36","1","0","1","0","0","0","1","0","8","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","8","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","2","0","0","4","61","2","1","0","0","0","1","2","0","4","2","0","1","6","0","0","1","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","5","0","3","68","475","98","36","29","60","0","3","10","0","110","15","0","1","25","0","0","2","4","0","0"
