"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","0","0","1","23","7","2","0","23","0","1","1","0","0","0","0","0","0","0","0"
"1歳","0","0","8","6","52","25","1","0","17","0","3","1","1","0","0","0","0","0","0","0"
"2歳","3","0","2","9","35","19","1","0","6","0","0","1","1","0","0","0","0","0","0","0"
"3歳","1","0","5","16","53","18","1","2","2","1","0","6","2","0","0","0","0","0","1","0"
"4歳","1","0","3","18","47","19","2","0","0","0","2","5","1","0","0","0","0","0","0","0"
"5歳","2","0","0","25","36","9","0","3","0","0","0","4","2","0","0","0","0","0","1","0"
"6歳","4","0","1","27","21","2","1","3","0","0","0","2","0","0","0","0","0","0","0","0"
"7歳","0","0","2","29","20","3","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"8歳","2","0","0","17","27","2","1","1","0","0","0","3","0","0","0","1","0","0","0","0"
"9歳","0","0","0","9","10","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","1","18","33","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"15〜19歳","3","0","0","1","7","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"20〜29歳","1","0","1","12","60","2","0","0","0","3","0","1","0","0","0","4","0","0","1","0"
"30〜39歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"合計","25","0","23","188","425","109","9","10","49","4","7","28","7","0","0","15","0","0","4","2"
