"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","1","1","0","0","0","0","1","1","0","0","",""
"中央区","3","1","1","0","0","0","0","0","0","0","",""
"みなと","7","5","0","1","0","0","3","0","0","0","",""
"新宿区","8","2","4","4","0","0","9","1","0","0","",""
"文京","0","0","0","0","0","0","2","0","0","0","",""
"台東","2","0","0","0","0","0","0","0","0","0","",""
"墨田区","4","0","0","0","1","0","1","0","0","0","",""
"江東区","0","1","0","1","1","0","0","0","0","0","",""
"品川区","1","0","0","1","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","5","0","0","0","0","0","2","0","0","0","",""
"世田谷","0","0","0","0","0","0","0","2","0","0","",""
"渋谷区","4","7","4","0","1","0","1","0","0","0","",""
"中野区","3","0","1","0","1","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","2","0","0","0","",""
"池袋","3","5","1","5","0","0","1","4","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","0","",""
"荒川区","1","2","0","0","0","0","0","0","0","0","",""
"板橋区","0","3","0","1","0","0","5","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","4","2","0","1","1","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","4","6","0","0","",""
"江戸川","2","2","2","0","1","0","0","0","0","0","",""
"八王子市","6","0","1","3","2","0","0","0","0","0","",""
"町田市","6","1","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","11","2","2","2","1","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","7","3","0","0","",""
"多摩小平","0","0","0","0","0","0","2","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","71","34","16","19","9","0","40","18","0","0","",""
