"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","0","21","2","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","4","0","2","0","0"
"中央","0","0","0","0","4","7","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"日本橋","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"みなと","0","0","0","0","20","2","1","3","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","7","6","1","1","0","0"
"新宿区","0","0","0","3","72","6","1","0","1","0","0","0","0","3","0","0","0","4","0","0","0","0","0","0","7","6","2","2","0","0"
"文京","0","0","0","0","28","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","4","3","1","1","0","0"
"台東","0","0","2","1","86","6","1","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"墨田区","0","0","1","0","22","1","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","4","3","0","1","0","0"
"江東区","0","0","0","3","25","9","1","2","2","0","0","0","0","5","1","0","0","1","0","0","0","0","0","0","4","3","1","0","0","0"
"品川区","7","0","2","0","86","3","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","6","0","0","0","0"
"目黒区","0","0","0","2","26","7","1","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"大田区","0","0","0","8","71","21","1","2","4","0","0","0","0","5","1","1","0","3","0","0","0","0","0","0","10","9","1","1","0","0"
"世田谷","8","0","0","1","99","17","2","2","3","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","9","8","0","2","0","0"
"渋谷区","0","0","3","1","56","22","4","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","2","0","0"
