"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","1","14","4","1","0","19","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"1歳","0","0","1","0","22","6","10","1","7","1","0","2","0","0","2","0","0","1","0","0","0","0","0","0"
"2歳","0","0","0","4","18","10","7","0","0","0","0","1","2","5","2","0","0","0","0","0","0","0","0","0"
"3歳","0","0","0","4","23","6","5","1","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0"
"4歳","0","0","1","5","22","7","9","3","0","0","0","3","0","11","0","0","0","1","0","0","0","0","0","0"
"5歳","0","0","0","7","20","8","6","1","0","0","0","1","0","11","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","0","8","19","4","0","0","0","0","0","0","0","7","0","0","0","1","0","0","0","0","0","0"
"7歳","1","0","0","6","15","2","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","5","13","1","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","3","8","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","2","19","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","0","2","36","2","3","0","0","0","0","2","0","4","0","0","0","3","0","0","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","3","0","2","47","242","50","44","12","33","1","0","9","3","55","6","0","0","11","0","0","0","0","0","0"
