"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","1","0","0","0","5","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","0","2","1","44","1","0","0","22","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1歳","3","0","3","1","79","21","0","2","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","7","0","3","4","80","20","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"3歳","10","0","1","3","68","20","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"4歳","8","0","1","9","63","18","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0"
"5歳","5","0","2","7","59","16","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"6歳","5","0","0","6","48","7","0","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"7歳","4","0","0","10","45","2","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8歳","7","0","0","3","22","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"9歳","5","0","0","2","28","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","26","0","0","6","43","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","10","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","19","0","0","3","169","2","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","1"
"30〜39歳","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"40〜49歳","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70〜79歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","164","0","12","55","771","111","3","9","35","0","0","2","1","23","0","0","0","7","0","0","0","0","0","1"
