"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","0","0","0","1","0","0","0","2","0","1","0","2","0","0","0","0","0","0","0"
"〜1歳","0","0","1","0","22","3","2","0","27","0","36","0","7","0","0","0","0","0","0","0"
"1歳","0","0","10","2","27","10","21","0","12","0","85","0","4","0","0","0","0","0","0","0"
"2歳","0","0","4","3","26","9","25","1","3","0","59","2","2","0","0","0","0","0","0","0"
"3歳","0","0","10","8","23","7","11","0","0","0","48","4","2","0","1","0","0","0","0","0"
"4歳","0","0","12","8","20","3","13","0","0","0","41","6","1","1","0","0","0","0","0","0"
"5歳","0","0","5","9","15","3","15","2","0","0","28","9","0","0","0","0","0","0","1","0"
"6歳","0","0","7","6","9","3","1","0","0","0","16","9","0","0","0","0","0","0","0","0"
"7歳","0","0","3","4","11","1","1","0","0","0","7","4","0","0","0","0","0","0","0","0"
"8歳","0","0","3","7","9","2","5","2","0","0","7","3","0","0","0","1","0","0","0","0"
"9歳","0","0","2","2","6","0","0","2","0","0","3","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","2","6","17","1","2","0","0","0","0","3","0","0","0","1","0","0","0","0"
"15〜19歳","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","1","7","49","3","5","0","0","2","4","1","0","0","0","2","0","0","0","0"
"30〜39歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2","0","60","62","243","46","101","7","44","2","335","41","18","1","2","7","0","0","1","0"
