"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","0","0"
"1〜4歳","0","0","0","0","0","0","3","0","0"
"5〜9歳","0","0","0","0","0","0","2","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","1","0","0","1","0","0","0","0","0"
"20〜24歳","20","1","7","13","0","0","0","0","0"
"25〜29歳","35","4","14","14","0","0","0","0","0"
"30〜34歳","31","2","11","13","0","0","0","0","0"
"35〜39歳","22","7","11","10","0","0","0","0","0"
"40〜44歳","16","8","2","5","0","0","0","0","0"
"45〜49歳","6","2","2","6","0","0","1","0","0"
"50〜54歳","5","2","5","1","0","0","1","0","0"
"55〜59歳","3","1","3","1","0","0","1","0","0"
"60〜64歳","0","1","2","0","1","0","3","0","0"
"65〜69歳","0","0","1","0","0","0","2","0","0"
"70歳以上","2","0","0","1","0","0","23","0","0"
"合計","141","28","58","65","1","0","39","0","0"
