"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","0","0"
"1〜4歳","0","0","0","0","0","0","2","0","0"
"5〜9歳","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","1","0","0","0","0","0","0","0"
"15〜19歳","8","1","2","1","0","0","1","0","0"
"20〜24歳","23","5","2","5","1","0","0","0","0"
"25〜29歳","22","6","7","2","0","0","1","0","0"
"30〜34歳","10","3","7","2","3","0","1","0","0"
"35〜39歳","8","3","2","2","3","0","0","0","0"
"40〜44歳","8","3","2","5","1","0","0","0","0"
"45〜49歳","1","4","2","0","0","0","1","0","0"
"50〜54歳","3","1","0","3","0","0","0","0","0"
"55〜59歳","1","2","0","0","1","0","1","0","0"
"60〜64歳","0","1","0","0","0","0","0","0","0"
"65〜69歳","0","1","0","0","0","0","1","0","0"
"70歳以上","0","0","0","0","0","0","12","0","0"
"合計","84","31","24","20","9","0","23","0","0"
