"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","8","0","0"
"1〜4歳","0","0","0","0","0","0","3","2","0"
"5〜9歳","0","0","0","0","0","0","2","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","7","0","1","0","0","0","0","0","0"
"20〜24歳","31","1","6","7","1","2","0","0","0"
"25〜29歳","13","10","2","3","1","0","0","0","0"
"30〜34歳","11","6","2","2","3","1","1","0","0"
"35〜39歳","14","1","2","4","1","3","1","0","0"
"40〜44歳","4","1","2","3","0","0","0","0","0"
"45〜49歳","3","2","0","5","0","1","1","0","0"
"50〜54歳","1","3","1","0","0","0","0","0","0"
"55〜59歳","2","0","0","1","0","1","0","0","0"
"60〜64歳","0","0","0","0","0","0","1","0","0"
"65〜69歳","0","2","0","0","0","0","0","1","0"
"70歳以上","1","0","0","0","0","0","10","1","0"
"合計","87","26","16","25","6","8","27","4","0"
