"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","28","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","41","0","0","0","7","2","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","53","4","1","10","26","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"新宿区","45","0","1","0","25","5","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","","","","","",""
"文京","53","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","38","0","1","3","17","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","52","0","1","3","16","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","64","0","0","1","17","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"品川区","75","0","0","1","18","3","0","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","24","0","0","0","20","0","0","2","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","101","0","0","2","37","3","2","1","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","89","0","0","1","28","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","40","0","0","0","28","1","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","87","0","0","2","41","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"杉並","93","0","0","5","43","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","37","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","66","0","0","3","24","8","0","1","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","73","0","0","0","22","5","2","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","76","0","0","0","10","4","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","137","0","0","10","20","3","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"足立","52","0","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","92","0","0","3","11","1","0","0","1","0","0","0","0","5","1","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","108","0","1","4","21","2","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子","19","0","0","0","4","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","75","0","0","1","55","4","0","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","173","0","0","5","12","1","1","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","102","0","0","0","16","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","62","0","0","2","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","125","0","0","1","27","6","0","3","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","156","0","3","4","55","2","2","2","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2241","4","8","66","635","63","9","24","37","0","0","0","0","33","5","0","0","3","0","0","1","0","0","","","","","",""
