"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","8","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","0","1","11","2","1","3","24","0","0","1","0","1","2","0","0","0","0","0","0","0","0","0"
"1歳","0","0","0","1","35","14","3","0","6","0","0","1","0","3","2","0","0","0","0","0","0","0","0","0"
"2歳","0","0","2","0","28","8","2","0","2","0","0","0","0","6","0","0","0","0","0","0","0","1","0","0"
"3歳","0","0","0","2","33","10","4","1","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0"
"4歳","0","0","1","5","25","10","2","2","0","0","0","0","0","10","1","0","0","0","0","0","0","0","0","0"
"5歳","0","0","0","7","19","4","0","6","0","0","0","0","0","10","1","0","0","0","0","0","0","0","0","0"
"6歳","0","0","0","3","11","4","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","0","3","12","2","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","1","0","0"
"8歳","0","0","0","4","9","1","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","3","8","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","2","0","0","3","18","0","0","1","0","0","0","1","0","6","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","4","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","0","0","24","1","1","0","0","0","1","1","0","1","2","0","0","2","0","0","1","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","4","0","3","32","245","58","15","15","34","0","1","6","0","60","9","0","0","11","0","0","1","2","0","0"
