"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","14","3","5","4","0","1","5","1","0","0","",""
"中央区","7","3","1","3","0","0","0","0","0","0","",""
"みなと","6","28","5","4","0","0","6","0","0","0","",""
"新宿区","30","14","23","24","0","3","16","2","0","0","",""
"文京","6","0","4","1","0","0","3","3","0","0","",""
"台東","0","0","0","0","0","0","0","0","0","0","",""
"墨田区","1","2","0","0","0","0","5","1","0","0","",""
"江東区","9","6","3","3","0","1","0","0","0","0","",""
"品川区","7","4","2","3","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","5","0","0","4","0","0","1","0","0","0","",""
"世田谷","0","0","0","0","0","0","2","0","0","0","",""
"渋谷区","10","4","0","3","0","1","1","0","0","0","",""
"中野区","3","1","0","1","0","1","0","0","0","0","",""
"杉並","2","0","0","3","0","0","0","0","0","0","",""
"池袋","13","4","4","4","1","0","0","1","0","0","",""
"北区","0","0","1","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","0","",""
"板橋区","1","0","0","2","0","0","5","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","1","0","1","1","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","5","2","0","0","",""
"江戸川","3","0","0","0","0","1","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","0","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","1","0","0","0","0","0","0","0","0","0","",""
"多摩府中","0","0","0","1","0","0","9","10","0","0","",""
"多摩小平","0","0","0","0","0","0","2","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","119","69","49","61","1","8","60","21","0","0","",""
