"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","375","5","1139","2","1","3","68","2","1","0","2","1","1","1","0","0","0","0","0","2","0","0","4","1","","","","","","",""
"区南部","314","8","780","2","2","29","61","7","0","2","2","0","1","1","1","0","3","0","0","0","0","0","2","0","","","","","","",""
"区西南部","339","10","1131","3","1","22","66","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","4","1","","","","","","",""
"区西部","347","7","1210","4","2","10","54","4","1","0","5","0","0","2","1","0","1","0","0","0","0","0","3","2","","","","","","",""
"区西北部","693","21","1872","2","3","25","107","6","1","0","5","0","2","2","0","0","2","0","0","0","0","0","1","1","","","","","","",""
"区東北部","455","9","1431","3","9","23","74","1","0","0","3","0","0","1","3","0","1","0","0","1","0","0","5","2","","","","","","",""
"区東部","512","8","1377","1","2","41","87","4","1","3","2","1","1","1","0","0","0","0","0","4","0","0","3","1","","","","","","",""
"西多摩","159","3","312","0","0","6","4","3","0","0","1","0","0","0","0","0","0","0","0","3","0","0","3","1","","","","","","",""
"南多摩","937","11","2733","2","5","64","88","6","0","2","6","2","2","1","0","0","2","0","0","0","0","0","3","7","","","","","","",""
"北多摩西部","239","3","547","1","0","5","14","1","0","1","1","0","2","0","0","0","1","0","0","1","0","0","3","0","","","","","","",""
"北多摩南部","443","23","1318","4","1","42","56","8","3","3","2","0","1","1","0","0","1","0","0","1","0","0","7","2","","","","","","",""
"北多摩北部","424","7","1123","3","2","16","61","5","0","1","3","1","0","0","0","0","1","0","0","1","0","0","15","3","","","","","","",""
"島しょ","8","0","21","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","5245","115","14994","27","28","286","741","48","7","12","33","5","10","11","5","0","13","0","0","14","0","0","53","21","","","","","","",""
