"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","3","0","0","",""
"中央区","6","2","2","4","0","0","0","0","0","",""
"みなと","0","0","0","0","0","0","6","2","0","",""
"新宿区","28","18","11","16","0","5","30","9","0","",""
"文京","4","3","3","8","0","0","4","3","0","",""
"台東","1","1","0","2","0","0","0","0","0","",""
"墨田区","5","0","2","1","0","0","4","3","0","",""
"江東区","12","2","7","7","0","0","0","0","0","",""
"品川区","0","0","0","1","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","1","1","0","0","0","0","3","0","0","",""
"世田谷","0","0","0","0","0","0","8","2","0","",""
"渋谷区","5","2","1","1","0","1","2","0","0","",""
"中野区","3","1","0","0","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","18","6","8","8","0","2","2","2","0","",""
"北区","0","0","1","1","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","1","2","3","3","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","3","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","2","3","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","",""
"八王子","0","0","0","0","0","0","5","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","",""
"多摩府中","0","0","0","2","0","0","0","0","0","",""
"多摩小平","0","0","0","0","0","0","10","4","0","",""
"島しょ","0","0","0","0","0","0","0","1","0","",""
"合計","87","38","38","54","0","8","79","29","0","",""
