"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","3","0","0","0","1","1","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央","1","0","0","0","3","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"日本橋","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","0","0","0","0","2","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","9","0","0","2","22","7","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","2","0","0","0","13","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","6","0","0","3","9","2","0","4","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","","","","","",""
"江東区","3","0","0","1","7","6","0","0","0","0","0","0","0","3","1","0","0","3","0","0","0","0","0","0","","","","","",""
"品川区","5","0","0","0","15","0","0","1","1","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","0","0","0","0","20","1","0","3","6","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","","","","","",""
"世田谷","13","0","0","2","19","7","0","2","3","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","4","0","0","0","12","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","2","0","0","3","22","0","0","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","3","0","0","1","5","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"長崎","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","8","0","0","1","5","5","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","3","0","0","0","5","1","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","3","0","0","0","13","1","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","14","0","0","1","5","3","0","2","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","5","0","0","2","6","1","0","0","1","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","7","0","0","1","6","6","0","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","2","0","0","0","9","3","0","0","3","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"小岩","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子","3","0","0","0","1","7","0","0","0","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"秋川","7","0","0","2","22","1","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","10","0","0","2","11","3","0","1","4","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"多摩川","16","0","0","1","7","3","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","3","0","0","1","10","0","0","2","3","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","3","0","0","1","2","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"村山大和","4","0","0","0","2","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"府中小金井","5","0","0","0","1","4","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"狛江調布","1","0","1","0","3","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"三鷹武蔵野","4","0","0","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","7","0","0","0","10","2","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩東村山","6","0","0","0","9","1","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","4","0","0","0","0","2","0","0","2","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","167","0","1","24","284","82","1","26","42","0","1","4","9","70","5","0","0","6","0","0","0","0","0","1","","","","","",""
