"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","",""
"中央区","1","2","0","1","0","0","0","0","0","",""
"みなと","2","2","2","0","0","2","1","0","0","",""
"新宿区","8","8","11","5","0","4","1","1","0","",""
"文京","0","0","0","0","0","0","0","0","1","",""
"台東","31","2","1","22","6","1","0","0","0","",""
"墨田区","3","0","0","0","0","1","2","1","0","",""
"江東区","0","0","0","0","0","0","0","0","0","",""
"品川区","1","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","4","0","0","0","0","0","1","1","0","",""
"世田谷","0","0","0","0","0","0","1","0","0","",""
"渋谷区","5","7","2","0","1","0","0","0","0","",""
"中野区","2","0","1","0","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","7","4","1","5","0","0","2","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
"荒川区","1","0","0","0","0","0","0","0","0","",""
"板橋区","1","0","0","1","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","4","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","1","0","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","",""
"八王子市","4","1","0","0","2","0","0","0","0","",""
"町田市","3","2","1","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","11","3","1","1","1","0","0","0","0","",""
"多摩府中","0","0","1","0","0","0","14","0","0","",""
"多摩小平","0","0","0","1","0","0","0","4","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","88","31","21","36","10","8","23","7","1","",""
