"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","0","0","0"
"1〜4歳","0","0","0","0","0","0","4","0","0"
"5〜9歳","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","1","0","0","0","0","0","0","0","0"
"20〜24歳","17","1","0","11","0","0","0","0","0"
"25〜29歳","21","1","4","13","0","0","0","0","0"
"30〜34歳","13","4","0","3","0","0","3","0","0"
"35〜39歳","8","4","4","3","0","0","1","0","0"
"40〜44歳","5","3","3","2","0","0","0","0","0"
"45〜49歳","4","3","1","0","0","0","0","0","0"
"50〜54歳","2","2","3","1","0","0","2","0","0"
"55〜59歳","0","1","2","0","0","0","5","0","0"
"60〜64歳","2","1","0","0","0","0","2","0","0"
"65〜69歳","0","1","0","0","0","0","2","0","0"
"70歳以上","1","2","0","1","0","0","14","0","0"
"合計","74","23","17","34","0","0","33","0","0"
