"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","1","1","0","23","2","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","1","10","3","73","9","1","0","39","0","1","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","1","1","15","14","104","20","8","4","47","0","3","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"2歳","2","0","7","20","77","16","5","5","7","0","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","3","0","10","35","90","18","3","4","3","0","1","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","0","0","8","51","84","37","5","11","1","0","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"5歳","1","0","5","55","65","19","0","4","1","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","2","0","1","57","49","13","0","4","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","2","42","40","10","1","5","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","1","29","48","13","1","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","1","0","0","21","26","5","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","1","0","0","36","61","4","1","2","0","0","0","2","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","2","2","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","5","0","4","32","119","2","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","23","3","66","397","870","168","26","49","100","0","12","25","12","1","0","8","0","1","1","0","3","0","0","0","0","0","0","0","0"
