"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","3","4","1","0","16","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","14","1","0","2","78","8","0","0","27","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","41","3","5","5","191","25","0","5","41","0","1","0","3","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"2歳","64","1","2","11","133","24","0","6","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","79","0","3","20","100","22","2","4","2","0","1","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","114","0","3","23","82","16","1","9","0","0","0","6","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"5歳","105","0","3","34","49","11","0","13","0","0","0","3","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6歳","103","0","2","29","49","5","1","10","0","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","73","0","2","23","35","5","0","9","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"8歳","62","0","1","14","27","5","0","5","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","35","0","0","14","23","1","0","4","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","75","0","1","22","43","1","0","6","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","37","0","0","2","18","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","55","0","0","7","49","1","0","1","0","6","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","947","9","23","206","893","125","4","72","73","8","6","36","10","1","1","6","0","0","5","0","0","0","0","0","0","0","0","0"
