"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","5","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"〜1歳","0","0","1","0","9","1","0","1","24","0","0","1","0","0","2","1","0","0","0","0","0","0","0"
"1歳","0","0","1","2","25","9","0","1","16","0","1","12","0","0","1","0","0","0","0","0","0","0","0"
"2歳","0","0","4","5","30","11","2","4","3","0","0","9","0","3","0","1","0","0","0","0","0","0","0"
"3歳","0","0","5","13","23","13","0","6","0","0","0","4","0","5","0","0","0","0","0","0","0","0","0"
"4歳","0","1","6","17","27","12","2","8","0","0","0","12","0","3","0","0","0","0","0","0","0","0","0"
"5歳","0","0","2","13","24","5","2","8","0","0","0","5","0","5","0","0","0","2","0","0","0","0","0"
"6歳","0","0","3","6","25","2","0","10","0","0","2","2","0","4","0","0","0","0","0","0","0","0","0"
"7歳","0","0","1","12","14","0","0","13","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","8","9","2","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","1","5","10","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","1","0","3","8","2","0","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","1","7","1","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0"
"20〜29歳","0","1","0","12","43","1","0","0","0","0","0","1","0","1","0","0","0","3","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","3","24","97","259","66","6","64","43","0","6","47","0","25","4","2","0","8","0","0","0","0","0"
