"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","5","1","3","4","0","0","1","0","0","2","2"
"中央区","4","2","1","1","0","0","0","0","0","3","0"
"みなと","14","4","13","2","0","0","0","0","0","2","1"
"新宿区","16","8","2","11","0","0","13","0","0","7","2"
"文京","4","0","1","1","0","0","0","1","1","1","1"
"台東","4","0","6","9","2","0","0","0","0","2","0"
"墨田区","3","1","0","1","0","0","6","0","0","2","1"
"江東区","11","6","2","3","0","0","0","0","0","2","0"
"品川区","69","2","8","28","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","0","0","0","2","0","0","5","0","0","2","1"
"世田谷","0","0","0","0","0","0","5","1","0","0","2"
"渋谷区","25","4","7","8","0","0","0","0","0","5","1"
"中野区","13","0","0","8","0","0","0","0","0","2","0"
"杉並","3","0","0","0","0","0","3","0","0","2","2"
"池袋","16","2","5","9","0","0","0","0","0","3","1"
"北区","0","0","0","0","0","0","0","0","0","1","0"
"荒川区","0","0","0","0","0","0","0","0","0","1","0"
"板橋区","2","0","2","1","0","0","4","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","5","0","0","0","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","2","0","0","0","1"
"江戸川","6","1","1","5","0","0","0","0","0","2","0"
"八王子市","4","1","0","2","1","0","1","0","0","4","1"
"町田市","2","2","0","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","6","1","0","0","0","0","0","0","0","2","1"
"多摩府中","1","1","0","0","0","0","6","4","0","3","3"
"多摩小平","0","0","0","0","0","0","1","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","213","36","51","95","3","0","47","6","1","55","25"
