"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","2","0","0","7","6","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"〜1歳","0","8","1","3","103","2","2","0","20","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"1歳","0","13","1","2","258","13","5","1","11","0","0","2","0","0","2","0","0","0","0","0","0","0","0"
"2歳","0","2","4","2","158","17","5","0","0","0","0","2","0","2","1","0","0","0","0","0","0","0","0"
"3歳","0","3","1","5","168","15","5","3","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0"
"4歳","0","5","1","11","163","14","5","7","1","0","0","0","0","8","0","0","0","0","0","1","1","0","0"
"5歳","0","0","0","14","145","9","4","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"6歳","0","1","2","14","132","7","3","5","0","0","0","0","0","7","0","0","0","0","0","0","1","0","0"
"7歳","0","0","1","12","96","0","1","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"8歳","0","0","2","7","88","1","2","3","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0"
"9歳","0","0","0","7","77","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0"
"10〜14歳","0","0","0","9","184","1","1","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","1","1","70","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","2","0","10","303","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1","36","14","97","1952","86","33","28","34","0","0","6","0","33","6","1","0","9","0","1","3","0","0"
