"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","14","2","4","10","0","1","0","0","0","0","",""
"中央区","9","6","2","5","0","0","0","0","0","0","",""
"みなと","6","32","10","5","0","0","6","0","0","0","",""
"新宿区","13","1","20","20","0","9","8","3","0","0","",""
"文京","5","1","2","4","0","0","2","3","0","0","",""
"台東","0","0","0","0","0","0","0","0","0","0","",""
"墨田区","2","0","0","0","0","0","2","0","0","0","",""
"江東区","10","4","6","11","0","0","0","0","0","0","",""
"品川区","10","3","4","1","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","1","0","0","3","0","0","1","0","0","0","",""
"世田谷","0","0","0","0","0","0","6","1","0","0","",""
"渋谷区","8","0","0","2","0","0","0","0","0","0","",""
"中野区","3","1","0","3","0","1","0","0","0","0","",""
"杉並","4","0","1","0","0","0","2","0","0","0","",""
"池袋","14","4","4","6","0","1","3","1","1","0","",""
"北区","0","0","2","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","0","",""
"板橋区","1","1","0","2","0","0","5","0","1","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","4","0","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","2","4","0","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","0","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","0","",""
"多摩府中","1","0","0","2","0","0","8","6","0","0","",""
"多摩小平","0","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","105","55","55","74","0","12","45","20","2","0","",""
