"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","2","12","21","74","1","35","1","6","0","7","4","1","0","0","0","1","0","0","0","0","0","","","","","",""
"区南部","0","11","15","37","91","4","37","0","6","0","6","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","2","3","9","65","85","7","54","5","12","0","10","5","8","0","0","2","1","0","0","0","0","0","","","","","",""
"区西部","2","2","11","28","82","6","23","3","9","0","5","6","1","1","0","1","0","0","0","0","0","0","","","","","",""
"区西北部","0","5","13","63","83","10","55","0","10","0","6","2","1","0","0","5","0","0","0","0","0","0","","","","","",""
"区東北部","0","5","20","22","78","3","28","1","5","0","7","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","0","4","9","42","81","9","30","3","9","0","10","1","1","0","0","3","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","4","6","10","3","8","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","1","2","18","67","172","22","21","1","10","0","8","12","0","1","0","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","2","18","25","5","6","2","5","0","3","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","1","2","16","22","50","1","3","1","9","0","9","3","3","0","0","5","1","0","0","1","0","0","","","","","",""
"北多摩北部","1","5","18","52","59","10","24","0","8","0","3","2","0","0","0","3","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","8","41","147","445","890","81","324","17","89","0","76","38","17","2","0","21","3","0","0","1","0","0","","","","","",""
